year,type,details,country,location
28,Omen,Geese Flying Backwards,Britannia,Britannia
28,Omen,Three-Headed Baby,Germania,South Germania
29,Disaster,Plague,Rome,Gallia
29,Disaster,Pillaged By Germania,Rome,Gallia
29,Omen,Geese Flying Backwards,Rome,Grecia
29,Disaster,Fire,Persia,Outer Persia
29,Omen,Three-Headed Baby,Britannia,Britannia
29,Disaster,Fire,Britannia,Britannia
29,Disaster,Famine,Britannia,Britannia
30,Omen,Rivers of Blood,Rome,Italia
30,Disaster,Famine,Rome,Italia
30,Disaster,Plague,Rome,Italia
30,Disaster,Earthquake,Rome,Gallia
30,Disaster,Pillaged By Persia,Rome,Grecia
30,Disaster,Plague,Britannia,Britannia
30,Disaster,Earthquake,Germania,South Germania
31,Disaster,Earthquake,Rome,Italia
31,Omen,Moon Turns Red,Rome,Gallia
31,Disaster,Pillaged By Britannia,Rome,Gallia
31,Disaster,Earthquake,Rome,Grecia
31,Omen,Rivers of Blood,Germania,South Germania
31,Disaster,Earthquake,Germania,South Germania
31,Disaster,Plague,Germania,South Germania
32,Disaster,Pillaged By Germania,Rome,Italia
32,Omen,Geese Flying Backwards,Rome,Grecia
32,Omen,Geese Flying Backwards,Persia,Central Persia
32,Omen,Rivers of Blood,Persia,Outer Persia
32,Omen,Rivers of Blood,Persia,North Persia
33,Disaster,Pillaged By Britannia,Rome,Gallia
33,Omen,Geese Flying Backwards,Persia,North Persia
34,Omen,Geese Flying Backwards,Rome,Grecia
34,Omen,Three-Headed Baby,Persia,Central Persia
34,Omen,Moon Turns Red,Persia,Outer Persia
34,Omen,Three-Headed Baby,Persia,North Persia
34,Disaster,Pillaged By Germania,Britannia,Britannia
35,Omen,Moon Turns Red,Rome,Italia
35,Omen,Rivers of Blood,Rome,Grecia
35,Disaster,Famine,Rome,Grecia
35,Omen,Three-Headed Baby,Persia,Central Persia
35,Disaster,Fire,Persia,Outer Persia
36,Disaster,Fire,Germania,North Germania
38,Omen,Moon Turns Red,Rome,Grecia
38,Omen,Moon Turns Red,Persia,North Persia
38,Disaster,Pillaged By Rome,Germania,South Germania
39,Omen,Rivers of Blood,Persia,Central Persia
39,Omen,Rivers of Blood,Persia,North Persia
39,Omen,Geese Flying Backwards,Persia,North Persia
39,Omen,Three-Headed Baby,Germania,South Germania
40,Omen,Rivers of Blood,Persia,Outer Persia
40,Omen,Moon Turns Red,Persia,Outer Persia
40,Omen,Three-Headed Baby,Britannia,Britannia
41,Omen,Three-Headed Baby,Rome,Italia
41,Disaster,Famine,Persia,North Persia
41,Disaster,Fire,Britannia,Britannia
41,Omen,Moon Turns Red,Germania,South Germania
41,Disaster,Fire,Germania,South Germania
42,Omen,Black Dove,Persia,Outer Persia
42,Omen,Geese Flying Backwards,Persia,North Persia
42,Omen,Black Dove,Germania,North Germania
43,Omen,Geese Flying Backwards,Rome,Italia
43,Omen,Three-Headed Baby,Persia,Central Persia
43,Omen,Geese Flying Backwards,Persia,North Persia
43,Omen,Moon Turns Red,Germania,North Germania
43,Disaster,Fire,Germania,North Germania
44,Disaster,Fire,Persia,Central Persia
44,Omen,Geese Flying Backwards,Persia,North Persia
44,Omen,Moon Turns Red,Britannia,Britannia
45,Omen,Rivers of Blood,Rome,Italia
45,Omen,Flaming Comet,Rome,Gallia
45,Omen,Black Dove,Rome,Grecia
45,Omen,Geese Flying Backwards,Persia,North Persia
45,Disaster,Plague,Britannia,Britannia
45,Disaster,Pillaged By Rome,Germania,South Germania
46,Omen,Three-Headed Baby,Rome,Italia
46,Omen,Three-Headed Baby,Rome,Grecia
46,Disaster,Fire,Rome,Grecia
46,Disaster,Famine,Rome,Grecia
46,Omen,Geese Flying Backwards,Persia,North Persia
46,Omen,Rivers of Blood,Germania,South Germania
47,Disaster,Earthquake,Rome,Italia
47,Omen,Three-Headed Baby,Persia,Outer Persia
47,Omen,Geese Flying Backwards,Persia,North Persia
47,Disaster,Pillaged By Germania,Britannia,Britannia
47,Omen,Moon Turns Red,Germania,North Germania
47,Disaster,Pillaged By Persia,Germania,North Germania
48,Omen,Moon Turns Red,Rome,Grecia
48,Disaster,Famine,Persia,North Persia
50,Omen,Three-Headed Baby,Rome,Gallia
51,Omen,Rivers of Blood,Persia,North Persia
51,Disaster,Fire,Britannia,Britannia
52,Disaster,Fire,Rome,Italia
53,Disaster,Fire,Persia,Outer Persia
53,Omen,Moon Turns Red,Persia,North Persia
53,Disaster,Famine,Persia,North Persia
53,Disaster,Pillaged By Germania,Britannia,Britannia
54,Omen,Three-Headed Baby,Rome,Grecia
54,Disaster,Plague,Persia,North Persia
54,Omen,Moon Turns Red,Germania,South Germania
55,Omen,Geese Flying Backwards,Rome,Gallia
55,Omen,Geese Flying Backwards,Britannia,Britannia
55,Disaster,Plague,Germania,South Germania
56,Omen,Geese Flying Backwards,Rome,Italia
56,Omen,Geese Flying Backwards,Rome,Gallia
56,Omen,Three-Headed Baby,Persia,Central Persia
56,Omen,Geese Flying Backwards,Germania,South Germania
57,Omen,Rivers of Blood,Rome,Italia
57,Omen,Moon Turns Red,Rome,Gallia
57,Disaster,Fire,Rome,Gallia
57,Disaster,Pillaged By Rome,Britannia,Britannia
57,Disaster,Pillaged By Rome,Germania,South Germania
58,Disaster,Famine,Rome,Italia
58,Omen,Geese Flying Backwards,Rome,Grecia
58,Disaster,Pillaged By Germania,Persia,North Persia
58,Omen,Rivers of Blood,Germania,South Germania
59,Disaster,Famine,Rome,Grecia
59,Omen,Geese Flying Backwards,Persia,Outer Persia
59,Omen,Three-Headed Baby,Germania,North Germania
60,Omen,Geese Flying Backwards,Persia,Outer Persia
60,Omen,Rivers of Blood,Germania,North Germania
61,Omen,Geese Flying Backwards,Rome,Grecia
61,Disaster,Pillaged By Persia,Rome,Grecia
61,Omen,Geese Flying Backwards,Persia,Outer Persia
62,Omen,Black Dove,Rome,Italia
62,Disaster,Famine,Rome,Grecia
62,Omen,Black Dove,Persia,Outer Persia
62,Omen,Geese Flying Backwards,Britannia,Britannia
62,Omen,Black Dove,Germania,North Germania
63,Disaster,Famine,Persia,Outer Persia
63,Omen,Geese Flying Backwards,Britannia,Britannia
65,Omen,Rivers of Blood,Persia,Central Persia
65,Disaster,Famine,Persia,Central Persia
65,Disaster,Famine,Persia,Outer Persia
65,Omen,Three-Headed Baby,Germania,North Germania
65,Omen,Rivers of Blood,Germania,South Germania
66,Omen,Rivers of Blood,Rome,Italia
66,Omen,Three-Headed Baby,Britannia,Britannia
66,Disaster,Pillaged By Germania,Britannia,Britannia
66,Omen,Rivers of Blood,Germania,North Germania
66,Disaster,Fire,Germania,North Germania
67,Omen,Moon Turns Red,Rome,Grecia
67,Disaster,Pillaged By Rome,Persia,Outer Persia
68,Omen,Black Dove,Rome,Italia
68,Omen,Three-Headed Baby,Rome,Gallia
68,Omen,Black Dove,Persia,Outer Persia
68,Omen,Black Dove,Persia,North Persia
68,Omen,Black Dove,Germania,North Germania
69,Omen,Geese Flying Backwards,Persia,Outer Persia
69,Disaster,Fire,Persia,North Persia
69,Omen,Rivers of Blood,Germania,North Germania
70,Disaster,Pillaged By Rome,Persia,Outer Persia
71,Omen,Geese Flying Backwards,Rome,Gallia
71,Disaster,Famine,Persia,Outer Persia
71,Disaster,Pillaged By Persia,Germania,North Germania
72,Disaster,Famine,Rome,Gallia
72,Omen,Geese Flying Backwards,Persia,Outer Persia
72,Omen,Rivers of Blood,Persia,North Persia
72,Disaster,Pillaged By Germania,Britannia,Britannia
73,Omen,Geese Flying Backwards,Persia,Outer Persia
73,Omen,Moon Turns Red,Germania,North Germania
74,Omen,Geese Flying Backwards,Persia,Outer Persia
74,Omen,Geese Flying Backwards,Germania,North Germania
74,Disaster,Plague,Germania,North Germania
75,Omen,Rivers of Blood,Rome,Italia
75,Omen,Rivers of Blood,Rome,Grecia
75,Disaster,Plague,Persia,North Persia
76,Disaster,Fire,Rome,Italia
76,Omen,Three-Headed Baby,Britannia,Britannia
76,Disaster,Famine,Britannia,Britannia
76,Omen,Geese Flying Backwards,Germania,North Germania
77,Omen,Three-Headed Baby,Rome,Grecia
77,Omen,Rivers of Blood,Rome,Grecia
77,Disaster,Pillaged By Rome,Persia,Outer Persia
77,Disaster,Fire,Germania,South Germania
78,Omen,Geese Flying Backwards,Persia,Central Persia
79,Omen,Moon Turns Red,Rome,Gallia
79,Omen,Three-Headed Baby,Persia,Central Persia
79,Omen,Geese Flying Backwards,Persia,Outer Persia
79,Omen,Rivers of Blood,Britannia,Britannia
79,Omen,Geese Flying Backwards,Britannia,Britannia
80,Disaster,Fire,Rome,Grecia
80,Disaster,Fire,Persia,Central Persia
80,Disaster,Famine,Persia,Outer Persia
81,Omen,Moon Turns Red,Rome,Grecia
81,Omen,Rivers of Blood,Persia,Central Persia
81,Omen,Moon Turns Red,Britannia,Britannia
81,Disaster,Famine,Britannia,Britannia
81,Omen,Geese Flying Backwards,Germania,North Germania
82,Omen,Moon Turns Red,Persia,Central Persia
82,Disaster,Pillaged By Rome,Germania,South Germania
83,Omen,Moon Turns Red,Germania,North Germania
84,Omen,Three-Headed Baby,Rome,Grecia
84,Disaster,Fire,Rome,Grecia
84,Disaster,Pillaged By Rome,Britannia,Britannia
84,Disaster,Famine,Germania,North Germania
85,Omen,Moon Turns Red,Rome,Italia
85,Omen,Moon Turns Red,Rome,Gallia
85,Omen,Rivers of Blood,Persia,Central Persia
86,Omen,Moon Turns Red,Rome,Italia
86,Disaster,Pillaged By Germania,Britannia,Britannia
86,Omen,Rivers of Blood,Germania,North Germania
87,Omen,Geese Flying Backwards,Rome,Italia
87,Omen,Three-Headed Baby,Persia,Outer Persia
87,Omen,Geese Flying Backwards,Germania,North Germania
88,Omen,Three-Headed Baby,Rome,Italia
88,Omen,Rivers of Blood,Rome,Grecia
88,Omen,Geese Flying Backwards,Rome,Grecia
88,Omen,Flaming Comet,Britannia,Britannia
88,Disaster,Famine,Germania,North Germania
89,Omen,Geese Flying Backwards,Rome,Italia
89,Omen,Geese Flying Backwards,Rome,Grecia
89,Omen,Geese Flying Backwards,Persia,North Persia
89,Disaster,Famine,Germania,South Germania
90,Omen,Three-Headed Baby,Rome,Italia
90,Omen,Geese Flying Backwards,Rome,Italia
90,Omen,Geese Flying Backwards,Rome,Grecia
90,Omen,Rivers of Blood,Germania,North Germania
91,Disaster,Famine,Rome,Italia
91,Omen,Geese Flying Backwards,Rome,Gallia
91,Disaster,Fire,Persia,North Persia
91,Omen,Geese Flying Backwards,Germania,North Germania
91,Disaster,Pillaged By Rome,Germania,South Germania
92,Omen,Geese Flying Backwards,Rome,Gallia
92,Omen,Rivers of Blood,Persia,Central Persia
92,Omen,Moon Turns Red,Germania,South Germania
93,Omen,Moon Turns Red,Persia,Central Persia
93,Disaster,Pillaged By Britannia,Germania,North Germania
93,Omen,Geese Flying Backwards,Germania,South Germania
93,Disaster,Plague,Germania,South Germania
94,Disaster,Plague,Rome,Italia
94,Disaster,Famine,Rome,Gallia
94,Omen,Three-Headed Baby,Persia,Central Persia
94,Omen,Rivers of Blood,Britannia,Britannia
94,Disaster,Fire,Germania,North Germania
94,Disaster,Pillaged By Britannia,Germania,North Germania
94,Disaster,Famine,Germania,South Germania
95,Omen,Rivers of Blood,Rome,Grecia
95,Disaster,Plague,Rome,Grecia
95,Omen,Three-Headed Baby,Persia,Outer Persia
95,Disaster,Fire,Britannia,Britannia
95,Disaster,Earthquake,Germania,South Germania
96,Omen,Moon Turns Red,Rome,Grecia
96,Disaster,Pillaged By Persia,Germania,North Germania
96,Disaster,Pillaged By Britannia,Germania,North Germania
97,Disaster,Earthquake,Persia,North Persia
97,Disaster,Earthquake,Britannia,Britannia
97,Disaster,Earthquake,Germania,North Germania
98,Disaster,Famine,Rome,Gallia
98,Omen,Rivers of Blood,Germania,South Germania
99,Omen,Moon Turns Red,Rome,Italia
99,Omen,Three-Headed Baby,Rome,Gallia
99,Disaster,Pillaged By Rome,Germania,South Germania
100,Disaster,Pillaged By Rome,Persia,Outer Persia
100,Disaster,Famine,Persia,North Persia
100,Omen,Sun Goes Dark,Britannia,Britannia
100,Omen,Geese Flying Backwards,Germania,South Germania
101,Disaster,Fire,Rome,Gallia
101,Disaster,Fire,Persia,Outer Persia
101,Disaster,Pillaged By Germania,Britannia,Britannia
101,Omen,Geese Flying Backwards,Germania,South Germania
102,Omen,Moon Turns Red,Germania,North Germania
103,Omen,Moon Turns Red,Britannia,Britannia
103,Omen,Geese Flying Backwards,Germania,South Germania
104,Disaster,Pillaged By Rome,Persia,Outer Persia
104,Omen,Geese Flying Backwards,Persia,North Persia
104,Omen,Rivers of Blood,Germania,South Germania
104,Omen,Geese Flying Backwards,Germania,South Germania
105,Omen,Three-Headed Baby,Germania,South Germania
106,Omen,Moon Turns Red,Britannia,Britannia
107,Omen,Geese Flying Backwards,Rome,Gallia
107,Omen,Geese Flying Backwards,Persia,North Persia
107,Omen,Rivers of Blood,Britannia,Britannia
107,Disaster,Plague,Britannia,Britannia
107,Omen,Geese Flying Backwards,Germania,South Germania
108,Disaster,Fire,Rome,Gallia
108,Disaster,Famine,Rome,Gallia
108,Disaster,Plague,Germania,North Germania
109,Disaster,Earthquake,Rome,Gallia
109,Omen,Geese Flying Backwards,Persia,North Persia
109,Disaster,Earthquake,Britannia,Britannia
109,Disaster,Plague,Germania,South Germania
110,Omen,Three-Headed Baby,Rome,Italia
110,Omen,Moon Turns Red,Persia,Central Persia
110,Omen,Geese Flying Backwards,Persia,North Persia
110,Disaster,Fire,Persia,North Persia
111,Omen,Geese Flying Backwards,Rome,Gallia
111,Omen,Three-Headed Baby,Persia,Central Persia
111,Omen,Moon Turns Red,Persia,Outer Persia
112,Disaster,Fire,Persia,Central Persia
112,Omen,Rivers of Blood,Persia,Outer Persia
112,Disaster,Pillaged By Persia,Germania,North Germania
113,Omen,Three-Headed Baby,Rome,Gallia
113,Omen,Rivers of Blood,Rome,Grecia
113,Disaster,Famine,Persia,Central Persia
114,Omen,Rivers of Blood,Rome,Italia
114,Omen,Moon Turns Red,Persia,Central Persia
114,Disaster,Fire,Persia,Outer Persia
114,Omen,Three-Headed Baby,Persia,North Persia
114,Disaster,Pillaged By Germania,Persia,North Persia
114,Omen,Moon Turns Red,Germania,North Germania
115,Disaster,Plague,Persia,Central Persia
115,Disaster,Pillaged By Rome,Persia,Outer Persia
115,Disaster,Pillaged By Rome,Britannia,Britannia
116,Omen,Three-Headed Baby,Rome,Italia
116,Omen,Flaming Comet,Persia,Outer Persia
116,Omen,Moon Turns Red,Britannia,Britannia
117,Omen,Rivers of Blood,Rome,Italia
117,Omen,Black Dove,Rome,Italia
117,Omen,Rivers of Blood,Rome,Grecia
117,Omen,Black Dove,Persia,Central Persia
117,Omen,Black Dove,Persia,North Persia
117,Omen,Black Dove,Germania,North Germania
117,Omen,Black Dove,Germania,South Germania
118,Omen,Geese Flying Backwards,Rome,Italia
118,Omen,Moon Turns Red,Rome,Italia
118,Disaster,Fire,Rome,Italia
118,Omen,Three-Headed Baby,Persia,Outer Persia
118,Omen,Rivers of Blood,Persia,Outer Persia
118,Disaster,Fire,Germania,North Germania
118,Omen,Moon Turns Red,Germania,South Germania
119,Disaster,Famine,Rome,Italia
119,Omen,Moon Turns Red,Persia,Central Persia
119,Disaster,Famine,Persia,Central Persia
119,Disaster,Plague,Germania,South Germania
120,Disaster,Fire,Rome,Grecia
120,Disaster,Famine,Persia,North Persia
120,Disaster,Plague,Germania,North Germania
121,Omen,Rivers of Blood,Rome,Gallia
122,Omen,Sun Goes Dark,Rome,Italia
122,Omen,Geese Flying Backwards,Persia,Central Persia
122,Omen,Sun Goes Dark,Persia,Central Persia
122,Omen,Moon Turns Red,Persia,North Persia
123,Omen,Rivers of Blood,Rome,Gallia
123,Disaster,Pillaged By Persia,Rome,Grecia
124,Disaster,Fire,Rome,Gallia
124,Omen,Geese Flying Backwards,Persia,Central Persia
124,Omen,Rivers of Blood,Persia,North Persia
124,Disaster,Pillaged By Rome,Germania,South Germania
125,Omen,Rivers of Blood,Rome,Italia
125,Disaster,Fire,Rome,Italia
125,Omen,Geese Flying Backwards,Persia,Central Persia
125,Omen,Rivers of Blood,Germania,North Germania
125,Omen,Moon Turns Red,Germania,South Germania
126,Disaster,Pillaged By Germania,Rome,Italia
126,Omen,Geese Flying Backwards,Britannia,Britannia
127,Disaster,Famine,Rome,Italia
127,Omen,Rivers of Blood,Rome,Gallia
127,Disaster,Famine,Persia,Central Persia
127,Disaster,Famine,Britannia,Britannia
128,Disaster,Fire,Rome,Italia
128,Omen,Moon Turns Red,Germania,North Germania
130,Disaster,Fire,Britannia,Britannia
131,Omen,Geese Flying Backwards,Persia,Central Persia
131,Disaster,Fire,Germania,North Germania
132,Omen,Geese Flying Backwards,Rome,Italia
132,Disaster,Fire,Rome,Italia
133,Omen,Geese Flying Backwards,Rome,Italia
133,Omen,Three-Headed Baby,Rome,Gallia
133,Disaster,Fire,Persia,Outer Persia
133,Omen,Three-Headed Baby,Persia,North Persia
134,Omen,Geese Flying Backwards,Rome,Italia
134,Omen,Moon Turns Red,Rome,Italia
134,Disaster,Fire,Rome,Italia
134,Omen,Geese Flying Backwards,Persia,Central Persia
134,Omen,Three-Headed Baby,Persia,North Persia
135,Omen,Geese Flying Backwards,Rome,Gallia
135,Omen,Three-Headed Baby,Rome,Grecia
135,Omen,Geese Flying Backwards,Persia,Central Persia
135,Omen,Moon Turns Red,Persia,Central Persia
135,Disaster,Famine,Britannia,Britannia
136,Omen,Geese Flying Backwards,Rome,Italia
136,Omen,Geese Flying Backwards,Rome,Grecia
136,Disaster,Fire,Rome,Grecia
136,Omen,Rivers of Blood,Persia,Central Persia
136,Disaster,Pillaged By Germania,Britannia,Britannia
137,Omen,Geese Flying Backwards,Rome,Gallia
137,Disaster,Famine,Rome,Grecia
137,Omen,Three-Headed Baby,Persia,Central Persia
137,Omen,Rivers of Blood,Persia,Outer Persia
137,Omen,Moon Turns Red,Persia,Outer Persia
138,Omen,Geese Flying Backwards,Rome,Italia
138,Omen,Geese Flying Backwards,Rome,Grecia
138,Omen,Three-Headed Baby,Germania,South Germania
139,Omen,Geese Flying Backwards,Rome,Grecia
139,Disaster,Pillaged By Persia,Rome,Grecia
139,Omen,Three-Headed Baby,Britannia,Britannia
140,Disaster,Famine,Rome,Italia
140,Disaster,Fire,Rome,Grecia
140,Disaster,Famine,Rome,Grecia
140,Omen,Three-Headed Baby,Persia,Central Persia
140,Omen,Moon Turns Red,Persia,Central Persia
140,Omen,Three-Headed Baby,Persia,North Persia
140,Disaster,Fire,Persia,North Persia
140,Omen,Rivers of Blood,Germania,North Germania
140,Omen,Moon Turns Red,Germania,North Germania
141,Disaster,Pillaged By Germania,Rome,Gallia
141,Omen,Three-Headed Baby,Persia,Central Persia
141,Disaster,Plague,Germania,North Germania
142,Omen,Moon Turns Red,Persia,Outer Persia
142,Omen,Three-Headed Baby,Persia,North Persia
143,Omen,Geese Flying Backwards,Persia,Central Persia
144,Omen,Moon Turns Red,Rome,Grecia
144,Disaster,Famine,Persia,Central Persia
145,Omen,Geese Flying Backwards,Rome,Grecia
145,Omen,Three-Headed Baby,Germania,South Germania
146,Disaster,Fire,Rome,Gallia
146,Disaster,Fire,Persia,Central Persia
146,Omen,Moon Turns Red,Persia,Outer Persia
147,Omen,Geese Flying Backwards,Rome,Gallia
147,Omen,Moon Turns Red,Rome,Gallia
147,Omen,Rivers of Blood,Persia,Outer Persia
147,Disaster,Plague,Persia,Outer Persia
147,Omen,Rivers of Blood,Germania,North Germania
148,Disaster,Plague,Persia,Central Persia
148,Disaster,Fire,Persia,North Persia
148,Disaster,Pillaged By Germania,Persia,North Persia
148,Omen,Rivers of Blood,Germania,South Germania
148,Omen,Geese Flying Backwards,Germania,South Germania
149,Omen,Geese Flying Backwards,Rome,Gallia
149,Disaster,Earthquake,Persia,Central Persia
149,Omen,Rivers of Blood,Persia,Outer Persia
149,Disaster,Pillaged By Germania,Persia,North Persia
149,Omen,Moon Turns Red,Britannia,Britannia
150,Omen,Geese Flying Backwards,Rome,Gallia
150,Omen,Rivers of Blood,Britannia,Britannia
150,Omen,Geese Flying Backwards,Germania,South Germania
151,Omen,Geese Flying Backwards,Rome,Grecia
151,Omen,Geese Flying Backwards,Germania,South Germania
152,Omen,Geese Flying Backwards,Rome,Gallia
152,Omen,Black Dove,Rome,Grecia
152,Disaster,Famine,Rome,Grecia
152,Omen,Black Dove,Persia,Outer Persia
152,Omen,Black Dove,Persia,North Persia
152,Omen,Rivers of Blood,Germania,North Germania
152,Omen,Black Dove,Germania,South Germania
152,Disaster,Fire,Germania,South Germania
153,Omen,Geese Flying Backwards,Rome,Gallia
153,Omen,Geese Flying Backwards,Persia,Central Persia
153,Omen,Rivers of Blood,Persia,Outer Persia
153,Disaster,Pillaged By Germania,Persia,North Persia
153,Omen,Rivers of Blood,Germania,South Germania
154,Disaster,Fire,Rome,Italia
154,Disaster,Famine,Persia,Central Persia
154,Omen,Moon Turns Red,Germania,North Germania
154,Disaster,Pillaged By Persia,Germania,North Germania
155,Omen,Geese Flying Backwards,Rome,Gallia
155,Omen,Geese Flying Backwards,Persia,Outer Persia
156,Omen,Geese Flying Backwards,Rome,Gallia
156,Omen,Rivers of Blood,Persia,Outer Persia
156,Omen,Flaming Comet,Persia,Outer Persia
157,Omen,Black Dove,Rome,Gallia
157,Disaster,Fire,Rome,Gallia
157,Omen,Moon Turns Red,Persia,Central Persia
157,Omen,Black Dove,Persia,Central Persia
157,Omen,Three-Headed Baby,Persia,Outer Persia
157,Omen,Black Dove,Persia,Outer Persia
157,Disaster,Fire,Persia,Outer Persia
157,Omen,Geese Flying Backwards,Britannia,Britannia
157,Omen,Black Dove,Britannia,Britannia
157,Omen,Three-Headed Baby,Germania,North Germania
158,Disaster,Famine,Rome,Gallia
158,Omen,Geese Flying Backwards,Persia,Central Persia
158,Disaster,Famine,Persia,Outer Persia
158,Omen,Three-Headed Baby,Britannia,Britannia
158,Disaster,Famine,Britannia,Britannia
159,Disaster,Famine,Rome,Italia
159,Omen,Moon Turns Red,Rome,Grecia
159,Disaster,Fire,Rome,Grecia
162,Omen,Rivers of Blood,Rome,Gallia
162,Disaster,Fire,Persia,Outer Persia
162,Omen,Moon Turns Red,Britannia,Britannia
162,Disaster,Fire,Germania,North Germania
163,Disaster,Pillaged By Persia,Rome,Grecia
163,Omen,Moon Turns Red,Persia,Central Persia
163,Disaster,Plague,Britannia,Britannia
164,Omen,Moon Turns Red,Rome,Italia
164,Disaster,Plague,Persia,Central Persia
164,Disaster,Pillaged By Rome,Britannia,Britannia
165,Disaster,Pillaged By Germania,Britannia,Britannia
166,Disaster,Fire,Rome,Italia
166,Omen,Geese Flying Backwards,Persia,Outer Persia
166,Omen,Rivers of Blood,Persia,North Persia
166,Disaster,Famine,Persia,North Persia
167,Omen,Geese Flying Backwards,Rome,Italia
167,Omen,Geese Flying Backwards,Persia,North Persia
167,Disaster,Pillaged By Germania,Persia,North Persia
167,Omen,Rivers of Blood,Germania,North Germania
167,Omen,Three-Headed Baby,Germania,South Germania
